ID,DAY,RACE,ACTOR,TEXT,TYPE,TONE,MOOD,CLIENT,EXTRA,SUSPECT1,SUSPECT2,SUSPECT3,CORRECTANSWER
#DD06010000--,DD,Desconocida,Minijefe,"¡Hola simio sin pelo!, aún no me conoces, pero a partir de ahora seré tu superior! (como si no lo fuera de por sí ya)",init,exclamative,saluting,clientZERO,,,,,
#DD06010100--,DD,Desconocida,Minijefe,Estáte bien atento porque solo lo explicaré una vez (no había presupuesto para hacer un tutorial de los buenos),dialogue,normal,neutral,clientZERO,,,,,
#DD06010200--,DD,Desconocida,Minijefe,En mi ausencia tendrás que atender a la más selecta de las clientelas (y a algún elemental que otro).,dialogue,normal,neutral,clientZERO,,,,,
#DD06010300--,DD,Desconocida,Minijefe,"Cuenta bien el valor de los productos en el desplegable de la derecha y si necesitas consultar las normativas, estarán en el desplegable de tu izquierda.",dialogue,normal,neutral,clientZERO,,,,,
#DD06010400--,DD,Desconocida,Minijefe,Las normativas afectan a razas y a productos en concreto. La raza del cliente se indicará abajo a la izquierda en el traductor de texto donde te aparecerán los diálogos.,dialogue,normal,neutral,clientZERO,,,,,
#DD06010500--,DD,Desconocida,Minijefe,Algunos traerán cupones ¡ESOS SON LOS PEORES! Si son buenos significa que ciertos objetos saldrán GRATIS al cliente.,dialogue,exclamative,neutral,clientZERO,,,,,
#DD06010600--,DD,Desconocida,Minijefe,"Por cierto, los cupones (al contrario que en tu aburrido mundo humano) son criaturas un poco menos adorables que yo. Revisa su diseño en el maletín de abajo a la izquierda para comprobar si el cupón es verdadero.",dialogue,normal,neutral,clientZERO,,,,,
#DD06010700--,DD,Desconocida,Minijefe,"Por cierto, puede que aparezca un detective preguntando cosas. No nos interesa tenerle en contra, así que responde correctamente a lo que te pregunte.",dialogue,normal,neutral,clientZERO,,,,,
#DD06019900--,DD,Desconocida,Minijefe,"Bueno cacho carne, me voy que me empieza el concierto de Ratsune Piku en la MadridOtaku. ¡¡Más te vale no haber perdido ninguna moneda para cuando vuelva!!",end,exclamative,neutral,clientZERO,,,,,
#DD03010001--,DD,Limbásticos,Antonio,Hola frikicillo ¿Te puedo llamar frikicillo? ,init,interrogative,neutral,clientONE,,,,,
#DD03010101--,DD,Limbásticos,Antonio,(...) Veo que no eres de muchas palabras ¿No... tendrás complejo de prota de un RPG no? Jia jia jia jia,dialogue,interrogative,neutral,clientONE,,,,,
#DD03010201--,DD,Limbásticos,Antonio,Ya que sacas el tema de los Videojuegos frikicillo... no es por presumir pero...estoy haciendo el próximo GOTY.,dialogue,normal,neutral,clientONE,,,,,
#DD03010301--,DD,Limbásticos,Antonio,"""S.A.L. Snail Across Lands"", un juego en el que encarnas a un caracol que perdió su concha.",dialogue,normal,neutral,clientONE,,,,,
#DD03010401--,DD,Limbásticos,Antonio,"Es una historia de superación, pixelart, y ningún diálogo que explique absolutamente nada del argumento.",dialogue,normal,neutral,clientONE,,,,,
#DD03010501--,DD,Limbásticos,Antonio,El prota se va a llamar Anacleto ¿Lo pillas? aNaCleto. ¡Cloruro Sódico tío! Que salao soy jia jia jia,dialogue,exclamative,neutral,clientONE,,,,,
#DD03019901--,DD,Limbásticos,Antonio,"Bueno frikicillo, que me acabas liando, cóbrame estas vainas locas que tengo que volver a la mancueva.",end,normal,neutral,clientONE,,,,,
#DD0301AA01--,DD,Limbásticos,Antonio,Con esta yetienergía fijo que tengo la demo para el sábado.,tick,normal,neutral,clientONE,,,,,
#DD0301BB01--,DD,Limbásticos,Antonio,¡Si estaba justo! Así no se apoya a los proyectos indie...,cross,exclamative,neutral,clientONE,,,,,
#DD02010002--,DD,Híbridos,Elvog,(ERUCTA BASTÍSIMO) ¡BROOOOOOOOO!,init,exclamative,neutral,clientTWO,,,,,
#DD02010102--,DD,Híbridos,Elvog,Menuda feshta tienen ahí a'lao (hip),dialogue,normal,neutral,clientTWO,,,,,
#DD02010202--,DD,Híbridos,Elvog,Lleevo dos díassh seguidos haciendo...net...¿netwerking? Esho de hacer contactos....,dialogue,interrogative,neutral,clientTWO,,,,,
#DD02010302--,DD,Híbridos,Elvog,"Net... net...NETBARKING de eshe (eructo), que esh que neceshito conocer gente (hip)",dialogue,normal,neutral,clientTWO,,,,,
#DD02010402--,DD,Híbridos,Elvog,Hace na' me echaron de.... de... (Elvog te mira muy fuerte),dialogue,normal,neutral,clientTWO,,,,,
#DD02010502--,DD,Híbridos,Elvog,¿Eresh... Eresh humano? (eructo de escala 3.2) WOW (eructito)...hay gente peorrrr que yo...,dialogue,interrogative,neutral,clientTWO,,,,,
#DD02010602--,DD,Híbridos,Elvog,"Pero no estesh trishte... Podría sher peor, podrías sher un... Elemental gorjgorjgorjgorj (se eructo-ríe)",dialogue,normal,neutral,clientTWO,,,,,
#DD02019902--,DD,Híbridos,Elvog,"Bueno, cóbrate eshtas cervecitas freshcas que he pillado dos porque hoy había deshcuento para los Híbridosh.",end,normal,neutral,clientTWO,,,,,
#DD0201AA02--,DD,Híbridos,Elvog,"Bro, eresh un tío legal (eructo de despedida)",tick,normal,neutral,clientTWO,,,,,
#DD0201BB02--,DD,Híbridos,Elvog,Pero... ¿hoy no era jueveshh? (eructa incrédulamente),cross,interrogative,neutral,clientTWO,,,,,
#DD04010003--,DD,Magos Oscuros,Elidora,"Eh, tú, ser inferior, veo que no estás haciendo nada de valor, asi que mejor entréname los slimes un rato.",init,normal,neutral,clientTHREE,,,,,
#DD04010103--,DD,Magos Oscuros,Elidora,"Tienes pinta de manejarte bien con un mazo de madera, así que haz que sus cabezas aguanten mis...reeducaciones.",dialogue,normal,neutral,clientTHREE,,,,,
#DD04010203--,DD,Magos Oscuros,Elidora,Apareceré de vez en cuando para ojear tus progresos.,dialogue,normal,neutral,clientTHREE,,,,,
#DD0401MG03--,DD,Magos Oscuros,Elidora,¡Ni se te ocurra atizarme que te maldigo la existencia!,mgIN,exclamative,neutral,clientTHREE,,,,,
#DD04060004--,DD,Magos Oscuros,Pijus Magnus,(Te mira con un desprecio casi tan grande como su cabeza),init,normal,neutral,clientFOUR,,,,,
#DD04060104--,DD,Magos Oscuros,Pijus Magnus,¿Humanos aquí? ¿EN EL REINO DE MI PAPI?,dialogue,interrogative,neutral,clientFOUR,,,,,
#DD04060204--,DD,Magos Oscuros,Pijus Magnus,Ese Minijefe nunca fue de fiar... seguro que te tiene aquí porque le dan ayudas...,dialogue,normal,neutral,clientFOUR,,,,,
#DD04060304--,DD,Magos Oscuros,Pijus Magnus,¿Hueles eso? ES TU EXISTENCIA Y ME MOLESTA. Así que espero que me compenses con algo... ¡YA SÉ!,dialogue,exclamative,neutral,clientFOUR,,,,,
#DD04069904--,DD,Magos Oscuros,Pijus Magnus,No tengas en cuenta la normativa y yo no le diré a papi lo mal que lo pasé viendo tus largos brazos humanos.,end,normal,neutral,clientFOUR,,,,,
#DD0406AA04--,DD,Magos Oscuros,Pijus Magnus,"Bien hecho, diría que pareces un humano listo, pero no creo en criaturas fantásticas.",tick,normal,neutral,clientFOUR,,,,,
#DD0406BB04--,DD,Magos Oscuros,Pijus Magnus,¡A MI PAPI VAS!,cross,exclamative,neutral,clientFOUR,,,,,
#DD05040005--,DD,Tecnópedos,Rave-N,YO-YO-YO ¡¡CÓMO ESTÁN LAS MÁQUINAS!!,init,exclamative,neutral,clientFIVE,,,,,
#DD05040105--,DD,Tecnópedos,Rave-N,"Uy... Perdona, no iba a malas, es la costumbre.",dialogue,normal,neutral,clientFIVE,,,,,
#DD05040205--,DD,Tecnópedos,Rave-N,Se podría decir que ya voy con el piloto automático jirijirijirijiri,dialogue,normal,neutral,clientFIVE,,,,,
#DD05040305--,DD,Tecnópedos,Rave-N,"No me puedo quejar de trabajo, pero últimamente solo encadeno fiesta tras fiesta...",dialogue,normal,neutral,clientFIVE,,,,,
#DD05040405--,DD,Tecnópedos,Rave-N,Aunque hoy me acaban de encargar algo que me hace mucha ilusión: una música de oficina.,dialogue,normal,neutral,clientFIVE,,,,,
#DD05040505--,DD,Tecnópedos,Rave-N,"Sí, sí como lo oyes ¿Sabes la típica música de espera rollo ascensor? Pues eso.",dialogue,interrogative,neutral,clientFIVE,,,,,
#DD05040605--,DD,Tecnópedos,Rave-N,De hecho iba pegarme un caprichito con el adelanto y justo encontré este cupón.,dialogue,normal,neutral,clientFIVE,,,,,
#DD05049905--,DD,Tecnópedos,Rave-N,Espero que sea un cupón verdadero... ¿Serías tan amable de revisarlo mirando en tu maletín?,end,interrogative,neutral,clientFIVE,,,,,
#DD0504AA05--,DD,Tecnópedos,Rave-N,¿Era bueno? Este día solo mejora :D,tick,interrogative,neutral,clientFIVE,,,,,
#DD0504BB05--,DD,Tecnópedos,Rave-N,¿Era falso? Vaya... Ya decía yo que no podía estar saliendo todo tan bien :C,cross,interrogative,neutral,clientFIVE,,,,,
#DD01040006--,DD,Elementales,Rocón,Ho-ho.... Hoooo.... Hola....,init,normal,neutral,clientSIX,,,,,
#DD01040106--,DD,Elementales,Rocón,Perd... Perdo.... Perdona mi tart...tartamu...dez,dialogue,normal,neutral,clientSIX,,,,,
#DD01040206--,DD,Elementales,Rocón,No suel... suelo sa...salir de casa muuuu...muchooo...,dialogue,normal,neutral,clientSIX,,,,,
#DD01040306--,DD,Elementales,Rocón,Porr...Porrque... la gen...te no....,dialogue,normal,neutral,clientSIX,,,,,
#DD01040406--,DD,Elementales,Rocón,La geeeeeeen... gennnnte... no me tiene paaa...,dialogue,normal,neutral,clientSIX,,,,,
#DD01040506--,DD,Elementales,Rocón,No me tiene paaaaa... pacien.....,dialogue,normal,neutral,clientSIX,,,,,
#DD01040606--,DD,Elementales,Rocón,Paciencccccccc....,dialogue,normal,neutral,clientSIX,,,,,
#DD01040706--,DD,Elementales,Rocón,Paciennnncia.,dialogue,normal,neutral,clientSIX,,,,,
#DD01040806--,DD,Elementales,Rocón,Y se cabr...ean conmi....go. Pero hoooooooy es un dddd...,dialogue,normal,neutral,clientSIX,,,,,
#DD01040906--,DD,Elementales,Rocón,Dddd....ía especial....porque cumpl....e años mi pppppapi,dialogue,normal,neutral,clientSIX,,,,,
#DD01041006--,DD,Elementales,Rocón,Y querrrr...ía regalarrrrle algo essssss... especcccccial,dialogue,normal,neutral,clientSIX,,,,,
#DD01041106--,DD,Elementales,Rocón,Aparrrrte un se... señorrrr me ha vendi...veeeendido est...,dialogue,normal,neutral,clientSIX,,,,,
#DD01041206--,DD,Elementales,Rocón,"Este cuppp...ón muy baaa... barato, así que me vaa a sss...",dialogue,normal,neutral,clientSIX,,,,,
#DD01049906--,DD,Elementales,Rocón,A ssssalir más barato el regalo ¿Q....Qué bien nnn....no?,end,interrogative,neutral,clientSIX,,,,,
#DD0104AA06--,DD,Elementales,Rocón,"Grrr...acias, seguuro que pppapi se al. ale.. se aleeegra.",tick,normal,neutral,clientSIX,,,,,
#DD0104BB06--,DD,Elementales,Rocón,¿Ese señ... señññññor me mmmmm... mintió?,cross,interrogative,neutral,clientSIX,,,,,
#DD06020007--,DD,Desconocida,Detective,Hola dependiente. Nos han informado de alguien con un ego enorme anda intentando engañar a gente.,init,normal,neutral,clientSEVEN,,,,,
#DD06020107--,DD,Desconocida,Detective,Usa su status para intimidar y conseguir lo que quiere ¿Alguno de estos clientes coincide con esta descripción?,dialogue,interrogative,neutral,clientSEVEN,,Rocón,Pijus Magnus,Elvog,Pijus Magnus
#DD06029907--,DD,Desconocida,Detective,"Muchas gracias por su colaboración, su información me es muy útil, seguramente me vea más días por aquí.",end,normal,neutral,clientSEVEN,,,,,
#DD06030099--,DD,Desconocida,Mikujefe,"(cantando) Riku, Riku, oo ee oo, Riku Ri....(tose en otaku)",init,normal,neutral,clientFINAL,,,,,
